STN--- ,WBAN  , YEAR,MO,DA  ,  TEMP ,    ,  DEWP ,    _1, SLP   ,    _2, STP   ,    _3,VISIB ,    _4, WDSP ,    _5,MXSPD  , GUST  ,  MAX   ,  MIN   ,PRCP   ,SNDP   ,F,R,S,H,T,T_6
723860,23169,2023,1,1,54.5,24,42.9,24,1003,24,927.2,24,9.9,24,10.6,24,19,35.9,  63.0  ,  44.1  , 0.11G ,999.9,0,1,0,0,0,0
723860,23169,2023,1,2,46.7,24,28.5,24,1007.7,24,931.2,24,10,24,3.3,24,7,15,  55.9  ,  37.9  , 0.01G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,3,46.6,24,31.7,24,1014.3,22,936.8,24,10,24,3.8,24,11.1,18.1,  54.0  ,  37.9  , 0.00G ,999.9,0,1,0,0,0,0
723860,23169,2023,1,4,46.7,24,37.7,24,1020.9,23,943.3,24,10,24,3.3,24,7,999.9,  54.0  ,  39.9  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,5,48,24,41.7,24,1018.4,24,941,24,9.7,24,2.8,24,14,25.1,  51.1  ,  39.9  , 0.00G ,999.9,0,1,0,0,0,0
723860,23169,2023,1,6,48.6,24,36.4,24,1019.4,24,941.9,24,10,24,4.8,24,9.9,18.1,  59.0  ,  39.9  , 0.14G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,7,46.5,24,35.3,24,1024.8,24,946.8,24,10,24,2.7,24,8,999.9,  59.0  ,  37.9  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,8,47.3,24,35.5,24,1022,24,944.3,24,10,24,2.6,24,6,999.9,  55.9  ,  37.9  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,9,50.2,24,36.7,24,1019.3,24,941.9,24,10,24,2.5,24,6,999.9,  55.9  ,  39.9  , 0.00G ,999.9,0,1,0,0,0,0
723860,23169,2023,1,10,53.6,24,38.5,24,1013.5,24,936.8,24,9.8,24,8.2,24,19,35.9,  61.0  ,  46.9  , 0.03G ,999.9,0,1,0,0,1,0
723860,23169,2023,1,11,47.4,24,32.2,24,1018,24,940.7,24,10,24,6.4,24,19,35,  61.0  ,  39.0  , 0.11G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,12,47.1,24,32,24,1027.7,24,949.5,24,10,24,3.4,24,8,999.9,  57.9  ,  37.9  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,13,49.5,24,29.9,24,1025,24,947.1,24,10,24,2.7,24,6,999.9,  57.9  ,  37.9  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,14,49.4,24,32.5,24,1014.7,24,937.7,24,10,24,2.9,24,12,20,  57.9  ,  41.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,15,51.1,24,36.8,24,1004.8,24,928.5,24,10,24,9.8,24,19,28,  57.0  ,  43.0  , 0.09G ,999.9,0,1,0,0,0,0
723860,23169,2023,1,16,49.4,24,37.9,24,1004.2,23,927.9,24,9.7,24,7.6,24,21,32.1,  59.0  ,  44.1  , 0.02G ,999.9,0,1,0,0,1,0
723860,23169,2023,1,17,48,24,29.8,24,1004,24,927.8,24,10,24,8.7,24,15.9,32.1,  59.0  ,  42.1  , 0.11G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,18,46.8,24,20.6,24,1015.8,24,938.5,24,10,24,7.5,24,15.9,21,  52.0  ,  37.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,19,41.9,24,24.7,24,1019.1,24,941.2,24,10,24,3.7,24,9.9,999.9,  52.0  ,  33.1  , 0.00G ,999.9,0,1,0,0,0,0
723860,23169,2023,1,20,44,24,21,24,1019.2,24,941.3,24,10,24,11.3,24,21,31.1,  51.1  ,  33.1  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,21,43.9,24,17.3,24,1026.9,24,948.6,24,10,24,7.9,24,17.1,21,  52.0  ,  34.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,22,41.6,24,17.4,24,1020.3,24,942.3,24,10,24,5,24,24.1,36.9,  53.1  ,  33.1  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,23,44.1,24,10.8,24,1015.8,24,938.3,24,10,24,15.9,24,24.1,28.9,  54.0  ,  33.1  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,24,46.6,24,16.1,24,1024.2,24,946.3,24,10,24,10,24,20,31.1,  57.0  ,  35.1  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,25,46.6,24,18.3,24,1027.9,24,949.7,24,10,24,5.6,24,12,999.9,  57.0  ,  35.1  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,26,48,24,19.8,24,1031.3,24,952.9,24,10,24,9,24,15.9,19,  57.0  ,  36.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,27,45.3,24,19.9,24,1025.6,24,947.5,24,10,24,3.7,24,8,999.9,  57.0  ,  35.1  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,28,45.8,24,23.1,24,1014.9,24,937.6,24,10,24,3.5,24,7,999.9,  57.0  ,  35.1  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,29,46.6,24,23.7,24,1009.8,24,933,24,10,24,4.8,24,15.9,25.1,  57.9  ,  36.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,1,30,45.2,24,32.9,24,1012.2,23,935.4,24,9.8,24,6.8,24,13,999.9,  57.9  ,  37.0  , 0.01G ,999.9,0,1,0,0,0,0
723860,23169,2023,1,31,38.7,24,13.9,24,1022.2,24,943.8,24,10,24,10.8,24,19,27,  50.0  ,  30.9  , 0.05G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,1,39.8,24,12.4,24,1024.9,24,946.4,24,10,24,3.6,24,14,999.9,  55.0  ,  30.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,2,46,24,20.7,24,1027.5,24,949.2,24,10,24,3.3,24,7,999.9,  59.0  ,  30.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,3,50.1,24,23.5,24,1027,24,949.1,24,10,24,2.7,24,7,999.9,  59.0  ,  36.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,4,50.3,24,24.4,24,1022.5,24,945,24,10,24,3.2,24,6,999.9,  62.1  ,  39.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,5,56.2,24,27.1,24,1017.4,24,940.4,24,10,24,7.9,24,19,33,  64.0  ,  39.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,6,52.6,24,23.1,24,1018.4,24,941.2,24,10,24,10.7,24,22,31.1,  64.0  ,  43.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,7,51.5,24,19.3,24,1025.8,24,948.1,24,10,24,13.1,24,20,29.9,  59.0  ,  45.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,8,50.7,24,22.5,24,1025.6,24,947.8,24,10,24,2.9,24,9.9,999.9,  64.0  ,  41.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,9,51.6,24,18.4,24,1026.8,24,949.1,24,10,24,7.3,24,20,25.1,  64.0  ,  41.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,10,48.2,24,7.7,24,1028.3,24,950.5,24,10,24,4.2,24,14,999.9,  60.1  ,  37.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,11,50.1,24,9.7,24,1016.2,24,939,24,10,24,3.7,24,12,999.9,  63.0  ,  37.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,12,52.8,24,13.2,24,1012.1,24,935.5,24,10,24,6.6,24,18.1,20,  66.0  ,  43.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,13,56.5,24,16.2,24,1009,24,932.8,24,10,24,7.8,24,18.1,21,  66.0  ,  43.0  , 0.00G ,999.9,0,0,0,0,0,0
723860,23169,2023,2,14,51.6,24,25.9,24,1003.6,22,927.7,24,9.8,24,10.7,24,33,48,  66.0  ,  37.9  , 0.00G ,999.9,0,1,1,0,0,0
